"","review"
"214","취준생입니다. 이런거 잘안쓰는데 영화관에서 100여명 중에 저혼자 보다가 울어서 씁니다. 쪽팔리긴한데 고릴라 아빠 떄매 울고 쥐 노래부를때 가사보고 울었습니다. 정말 좋은영화고 강추입니다."
"215","어른들의 이야기라도 해도 과언이 아닌 내용이긴 하지만 힘든 역경을 인내로 극복하는 과정을 재밌게 보면서배울수있는것 같아요 가족영화로 강추!!꼭 보시길 음악좋아하는 어린이 특히 강추11살아들이 피아노 배운지 1년 반 되는데 눈물을 흘리며 보더군요.지금까지 본영화중 가장 감동적이라고....~~~~"
"216",""
"217",""
"218","노래도 좋았고 너무 재밌었어요!!처음엔 재미없을듯 했는데 진짜 재밌어요!노래좋아하시는분들 추천합니다"
"219",""
"220","기적을 위해 노래 할 수 없어도 희망을 위해 노래하라! 세상에 지친 돼지 엄마도, 까칠한 고슴도치 소녀와, 소심한 코끼리 소녀까지도... 꿈을 잃은 고릴라 청년과 다혈질 생쥐 아저씨에게도 희망은 있다. 유쾌한 음악으로 가득한 애니입니다."
"221","애들보단 어른들이 힐링하고 오는영화애들은 중반까지 지루해하더라고요"
"222",""
"223",""
"224",""
"225",""
"226","솔직히 유아 데리고 보기엔 조금 재미없을듯~애들 보여주러 간 영화였는데 오히려 엄마인 제가 더 재미있게봤네요.빵 터지는 재미보다 소소한 재미가 있는 잔잔한 영화에요."
"227",""
"228",""
"229",""
"230","대놓고 인종차별하는 장면 나오던데"
"231",""
"232",""
"233",""
"234",""
"235",""
"236","넘 지루함 뻔한 스토리와 결말딸이 시작한지 30분만에 재미없다고 나가자고 함"
"237",""
"238","에니메이션 완전 좋아하는데 예고보고 기대를 너무 많이 한거같다. 끝에 최종무대 빼곤 전체적으로 너무 지루했다."
"239",""
"240","주토피아 이후 정말 괜찮은 애니메이션적재적소에 나오는 음악이 포인트"
"241",""
"242","별 기대없이 8살 딸이랑 보러갔는데 너무 좋았어요.. 아이도 엄청 재밌다고 하고요~~"
"243",""
"244","좋은 음악 영화"
"245","초등학교 고학년은 되야  재미를 느낄 수있을 것 같아요.어른들 보기에 더 좋은 애니~지루한 감이 있으나 정겨운 음악과 노래로  커버가 가능한 영화오디션 애니메이션!"
"246",""
