"","date","id","content"
"300",2013-07-28,"9man****","우리가 바라는 인간상 그러나 용납되선 안돼는 인간상 시대에 쫓겨 도망치는 삶을 살아야하는 의인들. 그 이상을 상기시켜주었다"
"301",2013-07-21,"admission(5317****)","최고다 진심"
"302",2013-07-15,"youn****","백문불여일견"
"303",2013-06-04,"맛스타(3x3i****)","한효주 진정 아름답게 나온더라."
"304",2013-07-21,"벨제부르(noto****)","섬김"
"305",2013-07-01,"강민스응(rkd7****)","꿀..."
"306",2013-07-23,"진교미(jkmo****)","천만 이유가 있네 7번방보다 훨씬 백배천배 낫다7번방은 스마트폰의 위력으로 만들어낸 천만이지 스토리는 그닥 별로임"
"307",2013-07-21,"다즈비(dog1****)","내생에 최고의 영화"
"308",2013-09-22,"ked9****","베를린따위같은헐리우드아류작보다는 광해가 오천만배는 나은듯...영화속 광해같은지도자는 과연영화속에서만존재할수밖에없는것인가 ㅠㅠ"
"309",2013-08-26,"sksq****","말이 필요없다. 전형적이 스토리를 이병헌이 뒤집어 놓았다"
"310",2013-06-29,"정신이번쩍(madc****)","역대 한국 영화 중 가장 재밌었다!"
"311",2013-07-23,"gran****","정말 많은 것을 깨우쳐주는 영화가 아닌가 싶습니다탄탄한 스토리와 역사를 소재로 햇다는 점거기에 배우들의 뛰어난 연기력까지 더해져 시간가는줄 몰랏네요 아주 잘봤습니다"
"312",2013-06-10,"아싸리(gayo****)","최고의영화최고의연기자이병헌"
"313",2013-09-04,"올리브(dfdv****)","백성을 하늘처럼 섬기는 왕, 진정 그것이 그대가 꿈꾸는 왕이라면... 그 꿈 내가 이루어드리리다."
"314",2013-08-04,"oksi****","천만을 괜히 넘은게 아님"
"315",2013-07-21,"misa****","역사를 다시 생각해 볼 수 있었던 좋은 기회였고, 이병헌을 다시 볼 수 있었으며 감동적이고 탄탄한 영화다."
"316",2013-06-09,"개념(vhzk****)","당연한 대사와 상황임에도 영화 자체에 압도 당하고 눈물을 흘리게 만든다."
"317",2013-07-11,"슈나우저(motu****)","중동고 81회 이병헌 화이팅, 88회 후배가."
"318",2013-09-22,"줄라이(soul****)","극장에서 재밌게 봤었는데 TV에서 하는거 다시 보니깐TV에서 하는건 편집을 해서 여러장면들이 빠졌네TV에서 편집을 대체 왜 한건지 이해가 안됨!!!!!"
"319",2013-07-05,"짜증나는남자(wjsq****)","우리가광해에열광하는이유는우리가바라는지배층의모습이여기에담겨져잇기때문이다."
"320",2013-06-30,"sg58****","진정한 사극이다.."
"321",2013-08-10,"alwj****","역시 다시봐도 감동입니다..제가 이 영화를 보고나서 이병헌님의 완전한 팬이 됐습니다ㅠ"
"322",2013-07-22,"마루(maru****)","사극물, 정치적인 내용 보기 싫어서 일부러 안보다가 이제야 봤네요. 굿굿굿! 이병헌씨 연기 좋네요. 한효주님 이쁘시네요."
"323",2013-07-13,"힌(wuj5****)","나는 왕이로소이다를 먼저 봐서 대충 광해의 스토리를 들었을 때, 어떤 점이 다를것인가 하는 궁금증이 있었다. 광해를 보고난 후 아예 다른 이야기라는 것을 알았고 마지막에 도부장이 자신의 왕을 지킨 것, 배를 타고 갈 때 허균이 인사한것이 감명깊었다."
